enzyme	logFC	logCPM	PValue	FDR	association
3.6.4.-	0.228123586	12.51371694	0.102177536	0.168961874	Not associated
3.6.4.12	0.461520366	13.73552171	0.001491206	0.005967644	Not associated
3.6.4.13	-0.209695455	11.43409178	0.18326193	0.270897335	Not associated
3.6.4.6	-1.804621857	4.981240853	0.035324891	0.071229744	Not associated
3.7.1.-	5.269697898	2.440782922	0.000107929	0.000823889	soil
3.7.1.12	-0.870136522	5.775100054	0.278547814	0.378209142	Not associated
3.7.1.14	2.60718148	4.830707181	0.009181141	0.02389927	Not associated
3.7.1.2	1.401160369	8.472953682	0.000427842	0.002349652	soil
3.7.1.22	-0.128463733	9.417835094	0.630808246	0.724678521	Not associated
3.7.1.3	0.006258122	9.153128105	0.974606015	0.99223265	Not associated
3.7.1.5	-2.258056278	6.462635451	0.001314612	0.005498579	root
3.7.1.8	-3.81999883	2.295331152	0.014120419	0.033409257	Not associated
3.7.1.9	2.349408988	-0.292012136	0.8	0.85997357	Not associated
3.8.1.-	-1.488289952	7.142840934	0.031389065	0.064572835	Not associated
3.8.1.2	-0.610369788	8.938736602	0.055829176	0.103180871	Not associated
3.8.1.3	-1.18909776	6.790778894	0.051420784	0.096822061	Not associated
3.8.1.5	-0.804838584	8.058890777	0.051569044	0.096898162	Not associated
3.8.1.8	-1.962631029	6.090022046	0.018302948	0.041910649	Not associated
4.-.-.-	-1.740647722	6.188348067	0.02286995	0.050157958	Not associated
4.1.1.-	-4.247261357	0.363157961	0.2288487	0.32246323	Not associated
4.1.1.11	0.410623415	7.613780319	0.341425939	0.445668061	Not associated
4.1.1.12	-3.18657262	3.556543358	0.026792388	0.057092298	Not associated
4.1.1.15	-0.779755336	5.805557135	0.410201135	0.519870294	Not associated
4.1.1.17	-1.062012911	9.348267366	0.000176603	0.001187017	root
4.1.1.18	-0.12512557	7.968691804	0.787618125	0.853978318	Not associated
4.1.1.19	-1.285545931	9.500277996	2.12E-07	6.65E-06	root
4.1.1.2	-7.348777101	2.397042207	0.003520318	0.011487802	Not associated
4.1.1.20	-0.380339551	10.65180804	0.027087525	0.05763031	Not associated
4.1.1.22	-3.157322205	3.292759019	0.010760366	0.027274397	Not associated
4.1.1.23	-0.265161909	9.093083038	0.342954331	0.447230986	Not associated
4.1.1.25	0.278269358	1.403950593	0.824351124	0.876927849	Not associated
4.1.1.28	1.50758982	8.667420394	3.86E-06	5.61E-05	soil
4.1.1.3	-3.781043462	7.241216667	3.87E-05	0.000373037	root
4.1.1.31	-0.781783046	10.43669806	6.66E-05	0.000569057	Not associated
4.1.1.32	1.162193087	10.52324044	8.51E-05	0.000688607	soil
4.1.1.36	0.21907515	9.686339882	0.299440439	0.401792589	Not associated
4.1.1.37	0.043702784	9.897714835	0.817561155	0.873142388	Not associated
4.1.1.39	-1.326525588	7.970490019	0.004447657	0.013594536	Not associated
